ANIMAL	FATHER	MOTHER
2103	1764	902
2104	NA	24
2105	NA	755
2106	NA	910
2107	NA	36
2108	NA	1887
2109	NA	1899
2110	1223	1082
2111	900	906
2112	1067	1552
2113	NA	1258
2114	NA	1095
2115	1721	905
2116	NA	1255
2117	NA	1243
2118	NA	1284
2119	NA	1252
2120	NA	1262
2121	1099	415
2122	NA	1820
2123	NA	1226
2124	NA	1101
2125	NA	1649
2126	NA	1109
2127	1201	1109
2128	1884	1553
2129	NA	1805
2130	NA	28
2131	NA	1877
2132	NA	1090
2133	1223	1661
2134	NA	747
2135	895	1665
2136	NA	NA
2138	1629	NA
2139	NA	NA
2140	NA	NA
2141	1587	1104
2142	NA	NA
2143	1884	1882
2145	NA	NA
2146	NA	1256
2147	NA	NA
2148	NA	NA
2149	NA	1817
2150	421	NA
2151	NA	NA
2152	NA	NA
2153	1629	NA
2154	NA	1483
2155	NA	NA
2156	NA	NA
2157	NA	NA
2159	1646	1251
2160	NA	NA
2162	NA	904
2163	26	1225
2164	1782	1260
2165	NA	1244
2167	1714	1083
2168	NA	1289
2169	1720	1079
2170	1714	1078
2171	17	1080
2172	NA	1082
2173	1615	1586
2174	NA	1072
2175	NA	1288
2176	NA	1098
2177	NA	1662
2178	NA	425
2179	1201	749
2180	1615	751
2181	NA	1090
2182	NA	1606
2183	NA	2023
2184	743	1633
2185	1714	NA
2186	NA	1742
2187	1223	1825
2188	1751	1767
2189	1629	1103
2190	1629	1103
2191	1223	1664
2193	NA	1077
2194	1720	1821
2195	1107	1259
2196	1223	1757
2197	NA	574
2198	NA	1841
2199	NA	1038
2200	NA	574
2201	1646	1756
2202	NA	1787
2203	1600	1263
2204	1107	1263
2205	NA	1242
2207	1201	NA
2208	NA	904
2209	NA	1101
2210	NA	1666
2211	NA	1660
2212	NA	1663
2213	NA	NA
2214	26	1834
4753	NA	1105
4754	NA	21
8477	NA	1885
8478	1629	1891
8481	1615	751
8482	NA	1981
37	NA	NA
41	NA	NA
58	NA	NA
63	NA	NA
69	NA	NA
82	NA	NA
2215	NA	1483
2216	NA	1260
2217	NA	1264
2218	NA	1553
2219	NA	904
2220	NA	1097
2221	NA	1103
2222	NA	11
2223	NA	1226
2224	NA	1805
2225	NA	1105
2226	NA	1817
